metodo,rota,politica_backend,permissao,admin_master,doctor,clinic_staff,observacao
GET,/,Pública,,Público,Público,Público,Não exige sessão autenticada.
GET,/health,Pública,,Público,Público,Público,Não exige sessão autenticada.
POST,/auth/login,Pública,,Público,Público,Público,Não exige sessão autenticada.
POST,/auth/refresh,Pública,,Público,Público,Público,Não exige sessão autenticada.
POST,/auth/logout,get_current_user,,Sim,Sim,Sim,Exige sessão válida; usuário e clínica precisam estar ativos.
GET,/auth/me,get_current_user,,Sim,Sim,Sim,Autoatendimento restrito ao próprio usuário ou à clínica vinculada.
GET,/statuses/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/statuses/{status_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/statuses/{status_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/roles/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/roles/{role_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/roles/{role_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/permissions/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/permissions/{permission_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/permissions/{permission_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
POST,/role-permissions/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/role-permissions/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/role-permissions/{role_permission_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/role-permissions/{role_permission_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
DELETE,/role-permissions/{role_permission_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PUT,/role-permissions/roles/{role_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/audit-logs/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
POST,/clinics/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/clinics/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/clinics/me,"require_permission(""clinics:read_profile"")",clinics:read_profile,Sim,Sim,Sim,Autoatendimento restrito ao próprio usuário ou à clínica vinculada.
PATCH,/clinics/me,"require_permission(""clinics:update_profile"")",clinics:update_profile,Sim,Sim,Sim,Autoatendimento restrito ao próprio usuário ou à clínica vinculada.
GET,/clinics/{clinic_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/clinics/{clinic_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/clinics/{clinic_id}/inactivate,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/clinics/{clinic_id}/activate,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
POST,/users/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/users/,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
GET,/users/doctors,"require_permission(""patients:read"")",patients:read,Sim,Sim,Sim,Lista auxiliar filtrada pelo escopo autorizado do solicitante.
GET,/users/me,"require_permission(""users:read_profile"")",users:read_profile,Sim,Sim,Sim,Autoatendimento restrito ao próprio usuário ou à clínica vinculada.
PATCH,/users/me,"require_permission(""users:update_profile"")",users:update_profile,Sim,Sim,Sim,Autoatendimento restrito ao próprio usuário ou à clínica vinculada.
PATCH,/users/me/password,"require_permission(""users:update_profile"")",users:update_profile,Sim,Sim,Sim,Autoatendimento restrito ao próprio usuário ou à clínica vinculada.
GET,/users/{user_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/users/{user_id},require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/users/{user_id}/password,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/users/{user_id}/inactivate,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
PATCH,/users/{user_id}/activate,require_admin,,Sim,Não,Não,Módulo estrutural; barreira fixa de Administrador Master.
POST,/patients/,"require_permission(""patients:create"")",patients:create,Sim,Sim,Sim,Permissão de rota + escopo de clínica/médico validado no serviço.
GET,/patients/,"require_permission(""patients:read"")",patients:read,Sim,Sim,Sim,Permissão de rota + escopo de clínica/médico validado no serviço.
GET,/patients/{patient_id},"require_permission(""patients:read"")",patients:read,Sim,Sim,Sim,Permissão de rota + escopo de clínica/médico validado no serviço.
PATCH,/patients/{patient_id},"require_permission(""patients:update"")",patients:update,Sim,Sim,Sim,Permissão de rota + escopo de clínica/médico validado no serviço.
PATCH,/patients/{patient_id}/activate,"require_permission(""patients:change_status"")",patients:change_status,Sim,Sim,Sim,Permissão de rota + escopo de clínica/médico validado no serviço.
PATCH,/patients/{patient_id}/inactivate,"require_permission(""patients:change_status"")",patients:change_status,Sim,Sim,Sim,Permissão de rota + escopo de clínica/médico validado no serviço.
GET,/exams/form-options,"require_permission(""exams:read"")",exams:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
POST,/exams/,"require_permission(""exams:create"")",exams:create,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/exams/,"require_permission(""exams:read"")",exams:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/exams/{exam_id},"require_permission(""exams:read"")",exams:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
GET,/exams/{exam_id}/history,"require_permission(""exams:read"")",exams:read,Sim,Sim,Não,"Permissão de rota + escopo do exame, clínica e médico validado no serviço."
